,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
98,1090587,Centimetre-wave continuum radiation from molecular clouds.,01/03/2009,01/03/2009,S. Casassus,Departamento de Astronomía,FONDECYT,Regular
99,236176,cmwaveclouds Cm-wave continuum emission from molecular clouds,01/09/2009,01/08/2010,S. Casassus,Observatoire de Paris-Meudon,Unión Europea,FP7-PEOPLE-IRSES
100,1060827,Stardust and the structure of the interstellar medium,01/03/2006,01/03/2009,S. Casassus,Departamento de Astronomía,FONDECYT,Regular
101,32070008,Apoyo financiero para la conferencia Gemini Science 2007,01/01/2007,01/01/2008,S. Casassus,Departamento de Astronomía,Astronomía,Fondo GEMINI
102,1030805,Radio emission mechanism in the interstellar medium,01/03/2003,01/03/2006,S. Casassus,Departamento de Astronomía,FONDECYT,Regular
103,3010037,The population of compact planetary nebulas in different galactic environments,01/03/2001,01/03/2004,S. Casassus / L. Bronfman,Departamento de Astronomía,FONDECYT,Postdoctorado
104,3000046,"The populations of ultra-compact hii regions and of compact planetary nebulae in different environments across the galaxy
",01/03/2000,01/03/2000,S. Casassus / L. Bronfman,Departamento de Astronomía,FONDECYT,Postdoctorado
105,1240049,Fundamental Astrophysics from a Speckle and spectroscopic follow-up of tight binary systems,01/07/2023,01/07/2023,R. Méndez / E. Costa,Departamento de Astronomía,FONDECYT,Regular
106,1230208,Fundamental Astrophysics from a Speckle and spectroscopic follow-up of tight binary systems,01/07/2022,01/07/2022,R. Méndez / E. Costa,Departamento de Astronomía,FONDECYT,Regular
107,1190038,Fundamental Astrophysics from a Speckle Survey of Binary Stars,01/04/2019,01/04/2023,R. Méndez / E. Costa,Departamento de Astronomía,FONDECYT,Regular
108,1110100,Insights on the proPerties and origin of the local (orion) spiral arm,01/03/2011,01/03/2015,E. Costa / R. Méndez,Departamento de Astronomía,FONDECYT,Regular
109,A-27,Cúmulos estelares jóvenes en ambientes diferentes,01/12/2009,01/12/2009,M. Rubio,Departamento de Astronomía,Programa de Investigación Asociativa,III Concurso Anillos en Ciencias y Antártico
110,1070312,"Constraining the orbits of nearby galaxies: Accurate absolute proper motions for the Carina, Fornax, Sculptor dwarf spheroidal galaxies",01/03/2007,01/03/2011,R. Méndez / E. Costa,Departamento de Astronomía,FONDECYT,Regular
111,1050718,The absolute proper motions and star formation history of the magellanic clouds,01/03/2005,01/03/2009,E. Costa / R. Méndez,Departamento de Astronomía,FONDECYT,Regular
112,1010137,In search of nearby starts: A parallax program for the southern sky,01/03/2001,01/03/2005,E. Costa / R. Méndez,Departamento de Astronomía,FONDECYT,Regular
113,1000949,"Identification and Astrometry of faint compact extragalactic radio sources
",01/03/2000,01/03/2000,E. Costa,Departamento de Astronomía,FONDECYT,Regular
114,1970767,Ccd Astrometry Of Faint Benchmark Extragalactic Radio Sources,01/03/1997,01/03/2000,E. Costa,Departamento de Astronomía,FONDECYT,Regular
115,1911193,Astrometría óptica de radiofuentes extragalácticas y radioestrellas,01/03/1991,01/03/1993,E. Costa,Departamento de Astronomía,FONDECYT,Regular
116,FB210003,Centro de Astrofísica y Tecnologías Afines,01/11/2021,01/11/2026,"G. Garay / A. Escala, G. Blanc, V. González, R. Muñoz, R. Finger, W. Max-Moerbeck, C. Fuentes, F. Forster, L. Pérez, L. Bronfman, M. Rubio, D. Mardones",Departamento de Astronomía,Programa Financiamiento Basal,Basal
117,1181663,Key problems in the formation and evolution of massive black holes: a preparation to the era of gravitational wave astronomy,01/03/2018,01/03/2022,A. Escala,Departamento de Astronomía,FONDECYT,Regular
118,1170997,Key problems in the formation and evolution of massive black holes: a preparation to the era of gravitational wave astronomy,01/09/2016,01/09/2016,A. Escala,Departamento de Astronomía,FONDECYT,Regular
119,3160161,From star-forming clouds to planetary scales: Computational modeling of disks in the era of ALMA,01/11/2015,01/11/2018,A. Escala,Departamento de Astronomía,FONDECYT,Postdoctorado
