,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
29,"Ruiz-Tagle, Pablo",La propiedad en Chile y sus dilemas,2018,REVISTA DE DERECHO (VALPARAISO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-68512018005000501,10.4067/S0718-68512018005000501
30,Ruiz-Tagle Vial Pablo,Propiedad de los medios y principios de intervención del Estado para garantizar la libertad de expresión en Chile,2011,REVISTA DE DERECHO (COQUIMBO),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-97532011000200012,10.4067/S0718-97532011000200012
31,"Ruiz-Tagle Vial, Pablo",Los derechos fundamentales en el siglo XXI y la disminución de su efecto mariposa,2003,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502003000200008 ,10.4067/S0718-09502003000200008 
32,"Negretto, Gabriel Leonardo; Soto Barrientos, Francisco",¿Cómo se debe regular un proceso constituyente democrático? Reflexiones a partir de la experiencia chilena,2022,Boletin Mexicano de Derecho Comparado,/UCH/VID,http://dx.doi.org/10.22201/iij.24484873e.2022.163.17494,10.22201/iij.24484873e.2022.163.17494
33,"Soto Barrientos, Francisco; Ejsmentewicz Cáceres, Daniela; Riveros Wittwer, Francisca",El tratamiento constitucional de los desastres socio-naturales: antecedentes y desafíos ante el debate constituyente en Chile,2022,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002022000100081,10.4067/S0718-52002022000100081
34,"Soto F., Welp Y.","Digital participation in Chilean ""citizenry dialogues"" (2015)",2021,International Journal of Electronic Governance,SCOPUS/UCH/VID,http://dx.doi.org/10.1504/IJEG.2021.116899,10.1504/IJEG.2021.116899
35,"Ihnen, C; Millaleo, S; Soto, F",The Constitutional Debate on the Right to Education and Its Impact on Citizens,2020,REVISTA DE CIENCIA POLITICA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-090X2020005000122,10.4067/S0718-090X2020005000122
36,"SOTO BARRIENTOS, FRANCISCO; COSTA CORDELLA, EZIO",Tensiones y desafíos de la participación ciudadana en materia ambiental-,2019,Revista Derecho del Estado,SCOPUS/SCIELO-otros paises /UCH/VID,http://dx.doi.org/10.18601/01229893.n44.09,10.18601/01229893.n44.09
37,"Welp, Y; Soto, F",Beyond fashions and smokescreens: Citizen's deliberation in constitutional change,2019,REVISTA ESPANOLA DE CIENCIA POLITICA-RECP,ESCI/UCH/VID,http://dx.doi.org/10.21308/recp.50.01,10.21308/recp.50.01
38,"Barrientos, FS","Mechanisms of Citizen Participation in the Legislative Process, The Challenges of their Reception in Chile",2017,ONATI SOCIO-LEGAL SERIES,ESCI/UCH/VID,,
39,"Soto Barrientos, Francisco",La regulacion del referéndum de especial trascendencia en perspectiva comparada y su eventual reconocimiento en la constitución chilena,2016,ESTUDIOS CONSTITUCIONALES,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002016000100009,10.4067/S0718-52002016000100009
40,"Soto Barrientos, Francisco",Asamblea constituyente: La experiencia latinoamericana y el actual debate en Chile,2014,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002014000100010,10.4067/S0718-52002014000100010
41,"Soto Barrientos, Francisco",The referendum in Latin America: An analysis from a comparative law approach,2013,Boletin Mexicano de Derecho Comparado,SCOPUS/SCIELO-otros paises /UCH/VID,,
42,"Barrientos, FS",DEMOCRACY AS A FORM OF STATE: ANALYSIS OF DIRECT DEMOCRACY' MECHANISMS REGULATED BY THE SWISS CONSTITUTION,2012,ESTUDIOS CONSTITUCIONALES,SCOPUS/ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002012000100010,10.4067/S0718-52002012000100010
43,"VALDIVIA OLIVARES, JOSÉ MIGUEL",RESPONSABILIDAD DEL ESTADO POR HECHOS DE SUS CONTRATANTES EN EL DERECHO CHILENO,2021,REVISTA DE DERECHO (CONCEPCION),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.29393/rd249-6rejv10006,10.29393/rd249-6rejv10006
44,"VALDIVIA OLIVARES, JOSÉ MIGUEL
",LA RESPONSABILIDAD POR FALTA DE SERVICIO EN LA ADMINISTRACIÓN HOSPITALARIA EN LA JURISPRUDENCIA CHILENA,2019,REVISTA DE DERECHO (CONCEPCION),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-591X2019000200213,10.4067/S0718-591X2019000200213
45,"Valdivia, JM",Non-medical malpractice in public hospitals,2019,ACTA BIOETHICA,SCOPUS/SCIELO-Chile/ISI/UCH/VID,http://dx.doi.org/10.4067/S1726-569X2019000200171,10.4067/S1726-569X2019000200171
46,"Valdivia, JM",Medical malpractice in public hospitals,2018,REVISTA MEDICA DE CHILE,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/s0034-98872018000901028,10.4067/s0034-98872018000901028
47,"Tapia Rodríguez, Mauricio; Valdivia Olivares, José Miguel",Homenaje a Jean Carbonnier (1908-2003),2004,REVISTA DE DERECHO (VALDIVIA),SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-09502004000100021 ,10.4067/S0718-09502004000100021 
48,"PALMA, EE; URBINA, FZ","Constitutional Act No. 2 of September 11, 1976 and the limitation of General Pinochet's power in the light of the doctrine of the historical constitutio",2022,REVISTA DE DERECHO POLITICO,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5944/rdp.114.2022.34152,10.5944/rdp.114.2022.34152
49,"Urbina, FZ; Diaz, FP","Public goods, private property and new Constitution (first part)",2021,REVISTA DE DERECHO POLITICO,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.5944/rdp.112.2021.32229,10.5944/rdp.112.2021.32229
50,Zúñiga Urbina F.,El «blanqueo constitucional» y el tribunal constitucional. Comentario a la sentencia rol nº 2975-2016 y la vigencia de la constitución,2018,ESTUDIOS CONSTITUCIONALES,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002018000100427,10.4067/S0718-52002018000100427
51,"Zúñiga Urbina F., Osorio Vargas C.","Comentario a la sentencia de la Corte Suprema rol N0 589732016, ¿Universidad Autónoma de Chile contra Consejo de Rectores de las Universidades Chilenas¿",2017,ESTUDIOS CONSTITUCIONALES,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002017000200601,10.4067/S0718-52002017000200601
52,"ZÚÑIGA URBINA, FRANCISCO","CONTROL DIFUSO DE NORMAS: COMENTARIO A LA SENTENCIA ROL N° 35236-2016 DE LA CORTE SUPREMA DE 30 DE AGOSTO DE 2016 ""VERÓNICA VENEGAS CÁCERES Y OTRO CON SERVICIO DE REGISTRO ClVIL E IDENTIFICACIÓN""",2017,ESTUDIOS CONSTITUCIONALES,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002017000100014,10.4067/S0718-52002017000100014
53,"Zúñiga Urbina F., Osorio Vargas C.",The supremecourt¿s unifying criteria for administrative sanctioning proceedings,2016,ESTUDIOS CONSTITUCIONALES,SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-52002016000200015,10.4067/S0718-52002016000200015
54,"Zúñiga Urbina, Francisco","El retorno a lo administrativo : Comentario a la sentencia rol nº 1079-2014 de la corte suprema, ¿Fisco de Chile con dörr zegers y otros ¿ (¿Chispas II¿)",2015,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002015000100012,10.4067/S0718-52002015000100012
55,"Zuñiga Urbina, Francisco Octavio",New constitution and constituent assembly in Chile,2014,REVISTA DE DERECHO POLITICO,SCOPUS/UCH/VID,,
56,"Zúñiga Urbina, Francisco","El derecho de excepción y la responsabilidad del Estado: Falta de Servicio y acto de gobierno. Comentario de la sentencia de casación rol N°4029-2013 de la corte suprema, de 24 de diciembre de 2013",2014,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002014000100013,10.4067/S0718-52002014000100013
57,Zúñiga Urbina Francisco,NEW CONSTITUTION AND CONSTITUENT OPERATION. SOME NOTES CONCERNING THE CONSTITUTIONAL REFORM AND OF THE CONSTITUTIONAL ASSEMBLY,2013,ESTUDIOS CONSTITUCIONALES,SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-52002013000100014,10.4067/S0718-52002013000100014
