,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,U-REDES-G_2018-17,"Red de Derecho, Economía y Negocios: ""Creación del Centro Interdisciplinario de Derecho, Economía y Negocios (LEXEN)""",01/08/2018,01/08/2018,G. Larraín,Gabinete Decanato,Fondo Central de Investigación,Programa U-Redes: Línea 1 Incentivo a la Generación de Red
1,1940492,experiencias de empresas privatizadas en Chile: Decisiones de adaptación organizacional y desempleo,01/03/1994,01/03/1996,"E. Acuña / P. Hidalgo, C. Maquieira",Gabinete Departamento de Administración,FONDECYT,Regular
