,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,PYT-2021-0663,Programa de Fortalecimiento Colaborativo de Cooperativas Agroalimentarias,01/12/2021,01/12/2023,M. Díaz / M. Mora,Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
1,30487872-0,Transferencia Ruta de la frutilla sustentable,01/11/2017,01/01/2020,"M. Díaz / R. Callejas, M. Mora",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
2,FIC201526,Optimización de labores y manejos en frutilla,01/07/2022,01/07/2022,M. Díaz,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
3,30428231-0,Cultivo de la frutilla con identidad regional,01/11/2015,01/11/2017,"M. Díaz / M. Mora, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
4,FIC201540,"Diseño de una estrategia de interconexión entre la oferta y la demanda de conocimiento, con foco en la sustentabilidad social, económica y ambiental para las mipymes frutícolas de la provincia de San Felipe y los Andes",01/07/2022,01/07/2022,M. Díaz,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Valparaíso
5,1050567,"Aplicación de marcadores microsatélitales en análisis de diversidad genética de fragaria chiloensis y algunas variedades de fragaria x ananassa I. Duch 
",01/06/2005,01/06/2005,R. Pertuzé / M. Díaz,Departamento de Producción Agrícola,FONDECYT,Regular
6,A2564-8714,,31/12/1987,31/12/1991,M. Díaz,,CONCURSOS ESPECIFICOS DE INVESTIGACION,DTI
