,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
61,"Olivares, Daniela; Garcia-Rojas, Miguel; Ulloa, Pablo A.; Riveros, Anibal; Pedreschi, Romina; Campos-Vargas, Reinaldo; Meneses, Claudio; Defilippi, Bruno G.","Response Mechanisms of ""Hass"" Avocado to Sequential 1-methylcyclopropene Applications at Different Maturity Stages during Cold Storage",2022,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants11131781,10.3390/plants11131781
62,"Hernandez, I; Uarrota, V; Fuentealba, C; Paredes, D; Defilippi, BG; Campos-Vargas, R; Nunez, G; Carrera, E; Meneses, C; Hertog, M; Pedreschi, R",Transcriptome and hormone analyses reveals differences in physiological age of ' Hass ' avocado fruit,2022,POSTHARVEST BIOLOGY AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.postharvbio.2021.111806,10.1016/j.postharvbio.2021.111806
63,"Rojas, B; Suarez-Vega, F; Saez-Aguayo, S; Olmedo, P; Zepeda, B; Delgado-Rioseco, J; Defilippi, BG; Pedreschi, R; Meneses, C; Perez-Donoso, AG; Campos-Vargas, R",Pre-Anthesis Cytokinin Applications Increase Table Grape Berry Firmness by Modulating Cell Wall Polysaccharides,2021,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants10122642,10.3390/plants10122642
64,"Nunez-Lillo, G; Ulloa-Zepeda, L; Pavez, C; Riveros, A; Blanco-Herrera, F; Campos-Vargas, R; Pedreschi, R; Meneses, C",Unravelling the Molecular Regulation Mechanisms of Slow Ripening Trait in Prunus persica,2021,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants10112380,10.3390/plants10112380
65,"Rothkegel, K; Espinoza, A; Sanhueza, D; Lillo-Carmona, V; Riveros, A; Campos-Vargas, R; Meneses, C",Identification of DNA Methylation and Transcriptomic Profiles Associated With Fruit Mealiness in Prunus persica (L.) Batsch,2021,FRONTIERS IN PLANT SCIENCE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3389/fpls.2021.684130,10.3389/fpls.2021.684130
66,"Lagos, C; Larsen, J; Fuentes, A; Herrera, H; Garcia-Romera, I; Campos-Vargas, R; Arriagada, C",Inoculation of Triticum Aestivum L. (Poaceae) with Plant-Growth-Promoting Fungi Alleviates Plant Oxidative Stress and Enhances Phenanthrene Dissipation in Soil,2021,AGRONOMY-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/agronomy11030411,10.3390/agronomy11030411
67,"Olmedo, P; Zepeda, B; Rojas, B; Silva-Sanzana, C; Delgado-Rioseco, J; Fernandez, K; Balic, I; Arriagada, C; Moreno, AA; Defilippi, BG; Campos-Vargas, R",Cell Wall Calcium and Hemicellulose Have a Role in the Fruit Firmness during Storage of Blueberry (Vaccinium spp.),2021,PLANTS-BASEL,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.3390/plants10030553,10.3390/plants10030553
68,"Salazar, J; Jorquera, C; Campos-Vargas, R; Jorgensen, C; Zapata, P; Infante, R",Effect of the application timing of 1-MCP on postharvest traits and sensory quality of a yellow-fleshed kiwifruit,2019,SCIENTIA HORTICULTURAE,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1016/j.scienta.2018.09.028,10.1016/j.scienta.2018.09.028
69,"Toro, M; Rivera, D; Toledo, V; Campos-Vargas, R; Allard, MW; Hamilton-West, C; Moreno-Switt, AI",Genomics of Salmonella contaminating backyard production systems reveals persistence and transmission of genetically related Salmonella on a farm basis,2018,ZOONOSES AND PUBLIC HEALTH,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1111/zph.12526,10.1111/zph.12526
70,"Biondi, E; Zamorano, A; Vega, E; Ardizzi, S; Sitta, D; De Salvador, FR; Campos-Vargas, R; Meneses, C; Perez, S; Bertaccini, A; Fiore, N",Draft Whole Genome Sequence Analyses on & IT;Pseudomonas & IT; & IT;syringae & IT; pv. & IT;actinidiae & IT; Hypersensitive Response Negative Strains Detected from Kiwifruit Bleeding Sap Samples,2018,PHYTOPATHOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1094/PHYTO-08-17-0278-R,10.1094/PHYTO-08-17-0278-R
71,"Correa, J; Mamani, M; Munoz-Espinoza, C; Gonzalez-Aguero, M; Defilippi, BG; Campos-Vargas, R; Pinto, M; Hinrichsen, P",New Stable QTLs for Berry Firmness in Table Grapes,2016,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.5344/ajev.2015.15049,10.5344/ajev.2015.15049
72,"Almeida, AM; Urra, C; Moraga, C; Jego, M; Flores, A; Meisel, L; Gonzalez, M; Infante, R; Defilippi, BG; Campos-Vargas, R; Orellana, A",Proteomic analysis of a segregant population reveals candidate proteins linked to mealiness in peach,2016,JOURNAL OF PROTEOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.jprot.2015.10.011,10.1016/j.jprot.2015.10.011
73,"Nunez-Lillo, G; Cifuentes-Esquivel, A; Troggio, M; Micheletti, D; Infante, R; Campos-Vargas, R; Orellana, A; Blanco-Herrera, F; Meneses, C",Identification of candidate genes associated with mealiness and maturity date in peach [Prunus persica (L.) Batsch] using QTL analysis and deep sequencing,2015,TREE GENETICS & GENOMES,SCOPUS/ISI/UCH/VID,http://dx.doi.org/10.1007/s11295-015-0911-9,10.1007/s11295-015-0911-9
74,"Munoz-Robredo, P;Rubio, P;Infante, R;Campos-Vargas, R;Manriquez, D;Gonzalez-Aguero, M;Defilippi, BG",Ethylene biosynthesis in apricot: Identification of a ripening-related 1-aminocyclopropane-1-carboxylic acid synthase (ACS) gene,2012,POSTHARVEST BIOLOGY AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.postharvbio.2011.09.001,10.1016/j.postharvbio.2011.09.001
75,"Nilo, R; Saffie, C; Lilley, K; Baeza-Yates, R; Cambiazo, V; Campos-Vargas, R; Gonzalez, M; Meisel, LA; Retamales, J; Silva, H; Orellana, A",Proteomic analysis of peach fruit mesocarp softening and chilling injury using difference gel electrophoresis (DIGE),2010,BMC GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/1471-2164-11-43,10.1186/1471-2164-11-43
76,"Valdes, H; Pizarro, M; Campos-Vargas, R; Infante, R; Defilippi, BG",EFFECT OF ETHYLENE INHIBITORS ON QUALITY ATTRIBUTES OF APRICOT CV. MODESTO AND PATTERSON DURING STORAGE,2009,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-58392009000200002,10.4067/S0718-58392009000200002
77,"Vizoso, P; Meisel, LA; Tittarelli, A; Latorre, M; Saba, J; Caroca, R; Maldonado, J; Cambiazo, V; Campos-Vargas, R; Gonzalez, M; Orellana, A; Silva, H",Comparative EST transcript profiling of peach fruits under different post-harvest conditions reveals candidate genes associated with peach fruit quality,2009,BMC GENOMICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/1471-2164-10-423,10.1186/1471-2164-10-423
78,"Defilippi, BG; Juan, WS; Valdes, H; Moya-Leon, MA; Infante, R; Campos-Vargas, R","The aroma development during storage of Castlebrite apricots as evaluated by gas chromatography, electronic nose, and sensory analysis",2009,POSTHARVEST BIOLOGY AND TECHNOLOGY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.postharvbio.2008.08.008,10.1016/j.postharvbio.2008.08.008
79,"Campos-Vargas, R;Defilippi, BG;Romero, P;Valdes, H;Robledo, P;Prieto, H",EFFECT OF HARVEST TIME AND L-CYSTEINE AS AN ANTIOXIDANT ON FLESH BROWNING OF FRESH-CUT CHERIMOYA (Annona cherimola Mill.),2008,CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,ISI/SCIELO-Chile/SCOPUS/UCH/VID,http://dx.doi.org/10.4067/S0718-58392008000300001 ,10.4067/S0718-58392008000300001 
80,"Gonzalez-Aguero, M; Pavez, L; Ibanez, F; Pacheco, I; Campos-Vargas, R; Meisel, LA; Orellana, A; Retamales, J; Silva, H; Gonzalez, M; Cambiazo, V",Identification of woolliness response genes in peach fruit after post-harvest treatments,2008,JOURNAL OF EXPERIMENTAL BOTANY,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1093/jxb/em69,10.1093/jxb/em69
81,"Campos-Vargas, R; Becerra, O; Baeza-Yates, R; Cambiazo, V; Gonzalez, M; Meisel, L; Orellana, A; Retamales, J; Silva, H; Defilippi, BG",Seasonal variation in the development of chilling injury in 'O'Henry' peaches,2006,SCIENTIA HORTICULTURAE,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1016/j.scienta.2006.06.019,10.1016/j.scienta.2006.06.019
82,"Latorre, M; Silva, H; Saba, J; Guziolowski, C; Vizoso, P; Martinez, V; Maldonado, J; Morales, A; Caroca, R; Cambiazo, V; Campos-Vargas, R; Gonzalez, M; Orellana, A; Retamales, J; Meisel, LA",JUICE: a data management system that facilitates the analysis of large volumes of information in an EST project workflow,2006,BMC BIOINFORMATICS,ISI/SCOPUS/UCH/VID,http://dx.doi.org/10.1186/1471-2105-7-513,10.1186/1471-2105-7-513
