,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
49,4001792-06,Estrategías de adaptación para la agricultura campesina,01/08/2019,01/08/2021,"O. Seguel / M. Galleguillos, R. Callejas",Departamento de Ingeniería y Suelos,Fondos de Innovación para la Competitividad,GORE O'Higgins
50,FIC201802,Plataforma on line para la autogestión del riego sustentable en frutales,01/07/2022,01/07/2022,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
51,FIC201717,"Plataforma para el servicio de asesoramiento del riego ON LINE (""SAR ON LINE"")",01/07/2022,01/07/2022,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Valparaíso
52,30487872-0,Transferencia Ruta de la frutilla sustentable,01/11/2017,01/01/2020,"M. Díaz / R. Callejas, M. Mora",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
53,FIC201627,Riego de precisión en frutales: innovación fortalecimiento provincias de Los Andes y San Felipe,01/07/2022,01/07/2022,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Valparaíso
54,FIC201624,Unidad de fertirrigación para docencia: U. O'Higgins,01/07/2022,01/07/2022,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
55,30474716-0,Innovación y optimización del riego en arándanos,01/11/2016,01/08/2019,"J. Covarrubias / G. Reginato, O. Seguel, C. Kremer, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
56,ID16I10024,Innovación sustentable para el manejo del riego de precisión en uva de mesa orientada a mejorar la calidad y a la evaluación del impacto económico y ambiental,01/08/2016,01/08/2016,R. Callejas,Departamento de Producción Agrícola,FONDEF,IDEA Bietapa
57,FIC201619,SAR-RIEGO bajo manejo de precisión,01/07/2022,01/07/2022,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Coquimbo
58,30428231-0,Cultivo de la frutilla con identidad regional,01/11/2015,01/11/2017,"M. Díaz / M. Mora, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
59,30404130-0,Riego de precisión con sensores de suelo en la producción de uva pisquera,01/11/2015,01/11/2017,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Coquimbo
60,FIC201523,Innovación y optimización del riego en arándanos,01/07/2022,01/07/2022,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
61,BIP 30350827,Paquete tecnológico para un uso eficiente del agua de riego en la producción de pequeños y medianos empresarios de uva de mesa y carozos,01/12/2014,01/06/2016,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Valparaíso
62,30137081,"Uchilecrea, un centro que innova en la agricultura de Atacama",01/10/2013,01/06/2015,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Atacama
63,BIP30137738-0,Innovación para un uso eficiente del agua y la energía de la producción de uva pisquera,01/01/2014,01/01/2016,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Coquimbo
64,30135574-0,Transferencia tecnológica frutícola,01/08/2013,01/12/2017,"G. Reginato, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
65,30135552-0,Innovación en el manejo de la frutilla de pequeños productores de la provincia de Cardenal Caro,01/11/2013,01/05/2016,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
66,30128228-0,Adaptación y transferencia de tecnología para aumentar la eficiencia de la mano de obra en frutales y viñas,01/12/2012,01/12/2015,"G. Reginato / E. Kania, R. Callejas, O. Carrasco",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
67,3011-2,Mejoramiento de la competitividad en la fruticultura a través del uso eficiente del agua de riego y energía eléctrica,01/12/2011,01/12/2013,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
68,30118801,"Sustentabilidad para la fruticultura de la Región de Atacama
",01/12/2011,01/03/2013,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Atacama
69,30107872,Uchilecrea: Innovación y fortalecimiento de capacidades en la fruticultura de la Región de Atacama,01/12/2010,01/12/2012,R. Callejas,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE Atacama
70,79100012,Fortalecimiento de las capacidades para mejorar la productividad y calidad de la vitivinicultura en Chile,01/12/2010,01/12/2013,R. Callejas,Departamento de Producción Agrícola,Programa de Capital Humano Avanzado,Inserción de Capital Humano en la Academia
71,CSIC10-12,Optimización del agua en riego en Atacama a través de la implementación de tecnologías de manejo de precisión en la agricultura,01/03/2010,01/03/2010,R. Callejas / J. Haberland,Departamento de Producción Agrícola,Fondo Central de Investigación,CSIC/U. DE CHILE
72,09CN14-5862,Optimización del transporte y establecimiento de plantas injertadas de vid,01/12/2009,01/12/2009,R. Callejas,Departamento de Producción Agrícola,INNOVA,Innova. Concurso Nacional
73,EST-2009-0033,"Uso eficiente de los fertilizantes en la fruticultura chilena, aplicando nuevas técnicas interpretativas del análisis foliar",01/01/2009,01/11/2010,R. Callejas,Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-Estudios
74,VRI09P0012,Valorización y Transferencia de Metodologías para la Fertirrigación de la Vid de Mesa,01/01/2009,01/12/2009,R. Callejas,Departamento de Producción Agrícola,FONDEF,Valorización de resultados
75,09CE-6781,Centro de extensión frutícola de Atacama,01/12/2009,01/12/2009,R. Callejas,Departamento de Producción Agrícola,INNOVA,Innova
76,08NF1-1855,Difusión y transferencia tecnológica para el uso eficiente del agua de riego en la Región de Atacama,01/12/2008,01/12/2009,R. Callejas,Departamento de Producción Agrícola,INNOVA,Nodos tecnológicos
77,08CT11IUT-03,"Desarrollo de tecnologías para mejorar la competitividad de la uva de mesa producida en una zona de madurez tardía, Valle de Colchagua",01/12/2007,01/12/2007,R. Callejas,Departamento de Producción Agrícola,INNOVA,Innova en Industria Frutícola
78,07CN13B-22,"Manejo Integral de Plantas injertadas de Vid (MIPIV): Innovación y Desarrollo de tecnologías, como base para el aumento de la precocidad y potencial productivo de nuevas plantaciones de uva de mesa",01/12/2007,01/12/2007,R. Callejas,Departamento de Producción Agrícola,INNOVA,Innova-interés público y precompetitivo
79,06PFC01A-34,Centro Tecnológico de Fruticultura,01/12/2006,01/12/2009,R. Callejas,Departamento de Producción Agrícola,INNOVA,Fort. Capacidades Innovación
80,05CR11IAT-06,Suelo vivo innovación y cambios tecnológicos en el uso de la materia orgánica en la optimización del manejo de parronales en la III Región,01/12/2005,01/12/2008,C. Baginsky / R. Callejas,Departamento de Producción Agrícola,INNOVA,Concurso Regional
81,05PFC01A-34,Centro Tecnológico de Fruticultura,01/12/2005,01/12/2010,R. Callejas / G. Reginato,Departamento de Producción Agrícola,INNOVA,Fort. Capacidades Innovación
82,04CR10PAD-01,Riego y Fertirrigación. Innovación y cambios tecnológicos en el uso racional del agua de riego y fertirrigación en la optimización del manejo de parronales en el Valle de Copiapó,01/12/2004,01/12/2008,R. Callejas,Departamento de Producción Agrícola,INNOVA,Concurso Regional
83,ED7/02/008,Descubriendo la Ciencia por medio de la relación suelo -agua- planta,01/12/2002,01/12/2003,"J. Haberland / R. Callejas, P. Calandra",Departamento de Ingeniería y Suelos,Explora,Divulgación y Valoración de CTI
84,1020151,Consideraciones fisiológicas en el manejo agronómico de la vid para la obtención de vinos de alta calidad en Cebernet Sauvignon y Syrah en el Valle del Maipo,01/03/2002,01/03/2005,"C. Pastenes / Ã. Peña, R. Callejas",Departamento de Producción Agrícola,FONDECYT,Regular
85,FIX-16,"Desarrollo de bases tecnológicas para el mejoramiento en la obtención de aceite de oliva de calidad y aplicación de metodologías para su caracterización, clasificación y certificación",01/12/2001,01/12/2001,"R. Callejas / J. Haberland, L. Luchsinger, Ã. Peña, M. Hurtado",Departamento de Producción Agrícola,FONDEF,Investigación y Desarrollo (I+D)
86,1240940,"Leaf elastic modulus is key in determining plant responses to water deficit in Vitis vinifera cultivars Cabernet Sauvignon, Sauvignon blanc, and Chardonnay",01/07/2023,01/07/2023,R. Campos,,FONDECYT,Regular
87,1241349,An alternative look to source/sink relationships in plants: Assessing the role of stem photosynthesis in drought tolerance and water use in woody species of agricultural interest,01/08/2023,01/08/2023,"M. Garrido / R. Infante, R. Campos",Centro de Estudios de Zonas Áridas,FONDECYT,Regular
88,3240324,Caracterización de la composición de ceras cuticulares de uva de mesa Thompson Seedless y Red Globe durante el desarrollo y postcosecha: implicancias en la susceptibilidad frente a Botrytis cinerea,01/06/2023,01/06/2023,R. Campos,Departamento de Producción Agrícola,FONDECYT,Postdoctorado
89,1240452,Dynamic calcium reserves in cherry trees: from storage to fruit accumulation,01/07/2023,01/07/2023,J. Covarrubias / R. Campos,Departamento de Producción Agrícola,FONDECYT,Regular
90,ATE230008,Rhizosphere engineering (RhizENG): sustainable agrifood production on a dynamic climate scenario,01/06/2023,01/06/2023,R. Campos,,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
91,1230918,Leaf elastic modulus is key in determining plant responses to water deficit in Vitis vinifera cultivars Sauvignon blanc and Chardonnay,01/08/2022,01/08/2022,R. Campos,PUC. Depto. de Fruticultura y Enología,FONDECYT,Regular
92,1220255,Understanding the plant-fruit physiology using a soilless and protected growing system as potential alternative avocado production system in Central Chile,01/08/2021,01/08/2021,R. Campos,U. Católica de Valparaiso,FONDECYT,Regular
93,1220223,Skin color de-synchronization with softening of Hass avocado: dissecting the problem by integration of omics and targeted hormone analysis at harvest and during postharvest storage,01/04/2022,01/04/2026,"R. Campos, B. Defilippi",U. Católica de Valparaiso,FONDECYT,Regular
94,1221616,Cell wall remodeling in sweet cherry fruit with surface pitting: an underlying response during cold stress,01/04/2022,01/04/2026,R. Campos,U. Católica de Valparaiso,FONDECYT,Regular
95,1221212,"Dissecting the root to shoot responses in nitrogen uptake, translocation and allocation upon water deficit in grapevines with contrasting stomatal sensitivity, and the consequences for YAN in grape berries",01/04/2022,01/04/2025,"C. Pastenes / R. Campos, J. Covarrubias, Ã. Peña, M. Garrido",Departamento de Producción Agrícola,FONDECYT,Regular
96,1220484,At the right time and at the right place: the role of cell wall calcium on fruit softening and exocarp disorders during storage on avocado (Persea americana Mill) grown under water deficit,01/04/2022,01/04/2026,"B. Defilippi / R. Campos, J. Covarrubias",Centro Regional La Platina-RM,FONDECYT,Regular
97,1210483,At the right time and at the right place: the role of cell wall calcium on fruit softening and exocarp disorders during storage on avocado (Persea americana Mill) grown under water deficit,01/08/2020,01/08/2020,"B. Defilippi / J. Covarrubias, R. Campos",Centro Regional La Platina-RM,FONDECYT,Regular
98,IT21I0071,Escalamiento de un prototipo de fungicida volátil encapsulado ysu validación en condiciones comerciales para el control de lapudrición gris en postcosecha de uva de mesa de exportación,01/02/2022,01/02/2024,R. Campos,Universidad Nacional Andrés Bello,FONDEF,IDEA
99,1200260,Study of cytokinin applications in early stages of berry development on changes in cell wall metabolism and its effect on the grape firmness in Vitis vinifera,01/04/2020,01/04/2024,R. Campos,Departamento de Producción Agrícola,FONDECYT,Regular
100,G13I0005,Identificación y validación de marcadores moleculares asociados a calidad de fruto en duraznero a través de genómica y metabolómica,01/12/2013,01/12/2018,R. Campos / R. Infante,UNAB. Depto. Ciencias Biológicas,FONDEF,Genómica de recursos naturales
101,G07I1001,Genómica funcional en nectarines: plataforma para fomentar la competitividad nacional en la exportación de frutas: parte II,01/12/2007,01/12/2009,"M. González / R. Infante, C. Stange, B. Defilippi, R. Campos, L. Meisel, M. Handford",Dirección,FONDEF,Genómica de recursos naturales
102,NU-03-2,Núcleo milenio en biología celular vegetal,01/12/2003,01/12/2006,"H. Silva, L. Meisel, R. Campos",UNAB. Fac. de Ecología y Recursos Naturales,Iniciativa científica Milenio,Núcleos Milenio
103,D02I1015,Desarrollo de sistema de gestión para mejorar competitividad de palta chilena: aplicación en tecnologías de postcosecha,01/12/2002,01/12/2005,"R. Campos / A. León, J. de la Fuente",Departamento de Producción Agrícola,FONDEF Investigación y Desarrollo,Fondef X-ID
104,G02P1001,Genómica Funcional en Nectarines: Plataforma para Potenciar la Competitividad de Chile en Exportación de Frutas,01/03/2002,01/03/2005,"R. Baeza, L. Cambiazo, H. Silva, M. González, L. Meisel, R. Campos",Departamento de Biología,FONDEF,Genómica de recursos naturales
105,30128228-0,Adaptación y transferencia de tecnología para aumentar la eficiencia de la mano de obra en frutales y viñas,01/12/2012,01/12/2015,"G. Reginato / E. Kania, R. Callejas, O. Carrasco",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
106,DO7I1003,Tecnología sustentable para la producción de cerezas de exportación en la zona centro-sur de Chile (Los Angeles a Osorno),01/12/2007,01/12/2012,"O. Carrasco, J. Haberland, J. Henríquez, J. de la Fuente, K. Sagredo, L. Sazo",Departamento de Producción Agrícola,FONDEF,Investigación y Desarrollo (I+D)
107,1240452,Dynamic calcium reserves in cherry trees: from storage to fruit accumulation,01/07/2023,01/07/2023,J. Covarrubias / R. Campos,Departamento de Producción Agrícola,FONDECYT,Regular
108,1221212,"Dissecting the root to shoot responses in nitrogen uptake, translocation and allocation upon water deficit in grapevines with contrasting stomatal sensitivity, and the consequences for YAN in grape berries",01/04/2022,01/04/2025,"C. Pastenes / R. Campos, J. Covarrubias, Ã. Peña, M. Garrido",Departamento de Producción Agrícola,FONDECYT,Regular
109,1220484,At the right time and at the right place: the role of cell wall calcium on fruit softening and exocarp disorders during storage on avocado (Persea americana Mill) grown under water deficit,01/04/2022,01/04/2026,"B. Defilippi / R. Campos, J. Covarrubias",Centro Regional La Platina-RM,FONDECYT,Regular
110,1210314,"Physiological, molecular and agronomic implications of ammonium with a natural nitrification inhibitor to optimize nitrogen nutrition in grapevine",01/08/2020,01/08/2020,"J. Covarrubias / M. Garrido, H. Silva",Departamento de Producción Agrícola,FONDECYT,Regular
111,1210483,At the right time and at the right place: the role of cell wall calcium on fruit softening and exocarp disorders during storage on avocado (Persea americana Mill) grown under water deficit,01/08/2020,01/08/2020,"B. Defilippi / J. Covarrubias, R. Campos",Centro Regional La Platina-RM,FONDECYT,Regular
112,1200402,"Physiological, molecular and agronomic implications of ammonium with a natural nitrification inhibitor to increase nitrogen use efficiency in grapevine",01/08/2019,01/08/2019,"J. Covarrubias / H. Silva, M. Garrido",Departamento de Producción Agrícola,FONDECYT,Regular
113,40027678-0,Optimización del uso del agua de riego en arándanos,01/10/2020,01/10/2023,"J. Covarrubias / R. Callejas, O. Seguel",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
114,PYT-2020-1022,"AeroDrip: Prototipo de de Aeroponia Vertical (Drip Reduced Irrigation Prototype) cómo producir más y en altura, reduciendo el uso del agua y adaptándose a toda superficie disponible",01/12/2020,01/02/2023,"R. Pertuzé, J. Covarrubias",Otras Instituciones,Fundación para la Innovación Agraria-FIA,FIA-proyectos
115,PYT-2018-0093,Evaluación técnico económica de estrategias sostenibles para la producción de cultivos regados con agua salina,01/11/2017,01/11/2021,"J. Covarrubias / D. Aros, S. Boza",Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
116,1181921,Can we significantly minimize heterogeneity of blueberry fruit at final destination? Finding the missing information,01/07/2017,01/07/2017,J. Covarrubias,UTAL. Depto. Producción Agricola,FONDECYT,Regular
117,FIC201804,Transferencia hortícola hidropónica usando ERNC,01/07/2022,01/07/2022,J. Covarrubias,Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
118,1180504,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/07/2017,01/07/2017,J. Covarrubias / H. Silva,Departamento de Producción Agrícola,FONDECYT,Regular
119,3180731,Eficacia e implicancias fisiológicas de estrategias sostenibles para incrementar la eficiencia en el uso del nitrógeno en la vid,01/08/2017,01/08/2017,J. Covarrubias,Departamento de Producción Agrícola,FONDECYT,Postdoctorado
120,ENL012/17,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/08/2017,01/08/2018,J. Covarrubias,Departamento de Producción Agrícola,Fondo Central de Investigación,U-APOYA: Proyectos de Enlaces
121,1170756,"Physiological, molecular and agronomic implications of sustainable management techniques to increase nitrogen use efficiency in grapevine",01/09/2016,01/09/2016,J. Covarrubias / D. Aros,Departamento de Producción Agrícola,FONDECYT,Regular
122,ID17I10165,Potencial de uso de harinas de roca para una agricultura sustentable en Chile,01/06/2017,01/06/2017,O. Seguel / J. Covarrubias,Departamento de Ingeniería y Suelos,FONDEF,IDEA Bietapa
123,30474716-0,Innovación y optimización del riego en arándanos,01/11/2016,01/08/2019,"J. Covarrubias / G. Reginato, O. Seguel, C. Kremer, R. Callejas",Departamento de Producción Agrícola,Fondos de Innovación para la Competitividad,GORE O'Higgins
124,PYT-2015-0300,Evaluación de nuevas alternativas para el control de heladas en frutales de hoja caduca,01/06/2015,01/10/2016,"G. Reginato / J. Henríquez, J. Covarrubias",Departamento de Producción Agrícola,Fundación para la Innovación Agraria-FIA,FIA-proyectos
125,UMOD-140007,Espectrofotómetro de emisión atómica por plasma de microondas (MP-AES),01/11/2014,01/11/2015,J. Covarrubias,Departamento de Producción Agrícola,Fondo Central de Investigación,U-MODERNIZA
126,114-135,Optimizing the water use efficiency of woody crops: use of model based on sequential stages applied to representative fruit trees from Mediterranean zone of Chile,01/03/2014,01/03/2014,"O. Seguel / L. Morales, J. Covarrubias",Departamento de Ingeniería y Suelos,FONDECYT,Regular
127,EQM140007,Espectrofotómetro de emisión atómica por plasma de microondas (MP-AES),01/11/2014,01/11/2015,"J. Covarrubias / Ã. Peña, O. Salazar, C. Pastenes, J. Fuentes, J. Pérez",Departamento de Producción Agrícola,FONDEQUIP,Concurso de Equipamiento Científico
