,0,dirName
1861,Coordinación Administrativa,coordinación_administrativa
1901,Proyectos de Investigación,proyectos_de_investigación
2640,Unidad Académica de Relaciones Internacionales y Políticas Públicas Globales,unidad_académica_de_relaciones_internacionales_y_políticas_públicas_globales
1903,Unidad Académica de Relaciones Jurídicas y Económicas  Internacionales ,unidad_académica_de_relaciones_jurídicas_y_económicas_internacionales
