,Autores,titulo_publicacion,ano,titulo_revistas,tipo_publicacion,link,doi
0,"Candela, JM",Choral Works - Death of the Sea,2022,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902022000200171,10.4067/S0716-27902022000200171
1,"Candela, JM",Choreomusical networks. A methodological proposal for the study of the relationships between music and dance,2022,REVISTA MUSICAL CHILENA,ISI/SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902022000100079,10.4067/S0716-27902022000100079
2,"Candela, JM",With my sonorous voice. Bells and bell ringing in the Cathedral and other historical temples of Santiago (1789-1899),2019,RESONANCIAS,ISI/UCH/VID,http://dx.doi.org/10.7764/res.2019.44.11,10.7764/res.2019.44.11
3,"Casaula, EC",Mombasa,2022,REVISTA MUSICAL CHILENA,SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902022000200175 ,10.4067/S0716-27902022000200175 
4,"Casaula, EC","Sound and choreographic bridges during the Franco regime: imaginary, exchanges and propaganda in international terms",2020,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902020000100176,10.4067/S0716-27902020000100176
5,"Arévalo V, Ana; Fernández Ll, Belén; Hidalgo K, Felipe; Lepe S, Yasna; Miranda J, Christian; Núñez R, Mauricio; Reyes J, Leonora",Corporalidades y narrativas docentes: un dispositivo metodológico para la investigación y formación de profesores,2016,ESTUDIOS PEDAGOGICOS (VALDIVIA),SCOPUS/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0718-07052016000500013,10.4067/S0718-07052016000500013
6,"Suazo, PM; Rojas, CG","Visual Memory of Dance in Chile, 1850 - 1966",2019,REVISTA MUSICAL CHILENA,ISI/SCIELO-Chile/UCH/VID,http://dx.doi.org/10.4067/S0716-27902019000200164,10.4067/S0716-27902019000200164
7,"Jaimovich J., Morand F.","Shaping the biology of emotion: Emovere, an interactive performance",2019,INTERNATIONAL JOURNAL OF PERFORMANCE ARTS AND DIGITAL MEDIA,SCOPUS/ESCI/UCH/VID,http://dx.doi.org/10.1080/14794713.2018.1563354,10.1080/14794713.2018.1563354
