,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
261,3160037,Conservación de la biodiversidad en plantaciones forestales de pino: evaluando sus implicancias para la transmisión de agentes zoonóticos transmitidos por roedores,01/11/2015,01/11/2018,A. Rubio / J. Simonetti,Departamento de Ciencias Ecológicas,FONDECYT,Postdoctorado
262,1241892,Immune response against Salmonella Enterica in birds immunized in-ovo with specific antigens and TLR ligands: the role of maternal passive immunity,01/07/2023,01/07/2023,L. Saenz / G. Cabrera,Departamento de Ciencias Biológicas Animales,FONDECYT,Regular
263,ID23I10135,"Vacuna oral subunitaria contra salmonella infantis, S. enteritidis y s. typhimurium para pollitos de engorda: innovación en la funcionalización de las particulas carrier para mejoramiento de la inmunidad mucosal y sistémica",01/05/2023,01/05/2025,L. Lapierre / L. Saenz,Departamento de Medicina Preventiva Animal,FONDEF,IDEA
264,1231620,Granulomatous response led by Gamma delta (&#947;&#948;) T cells against cattle non-fertile Cystic Echinococcosis cyst is disrupted by Fasciola hepatica natural co-infection,01/03/2023,01/03/2027,"G. Cabrera, E. Hernández, L. Saenz",Universidad Nacional Andrés Bello,FONDECYT,Regular
265,1231686,Deciphering trained immune response against Toxoplasma gondii in livestock: Toward the generation of co-stimulatory strategies and precision vaccines,01/03/2023,01/03/2027,"G. Ramírez / L. Saenz, P. Retamal",Departamento de Medicina Preventiva Animal,FONDECYT,Regular
266,IT23I0046,"Evaluación de la eficacia clínica en campo de una vacuna parenteral trivalente contra Salmonella Infantis, S. Typhimurium y S. Enteritidis para gallinas reproductoras broiler y del traspaso de inmunidad a la descendencia",01/04/2023,01/04/2023,"L. Lapierre / L. Saenz, H. Hidalgo, G. Ramírez",Departamento de Medicina Preventiva Animal,FONDEF,IDEA
267,1220466,Liver fibrosis induced by single parasite infection mediated by M2 macrophages and &#947;&#948; T lymphocytes is impaired by Fasciola hepatica and Echinococcus granulosus co-infection,01/08/2021,01/08/2021,"L. Saenz, E. Hernández, G. Cabrera",Universidad Nacional Andrés Bello,FONDECYT,Regular
268,13220039,Improving mucosal immunity by targeting oral vaccines to M cells through functionalized particles,01/09/2022,01/09/2022,L. Lapierre / L. Saenz,Departamento de Medicina Preventiva Animal,Fondecyt_Anid,Proyectos de Exploración
269,IT21I0039,"Validación Tecnológica de una vacuna contra la enfermedad degumboro y la artritis/tendosinovitis viral, producida en laplataforma vegetal N. benthamiana",01/11/2021,01/11/2021,"L. Saenz / L. Lapierre, H. Hidalgo",Departamento de Ciencias Biológicas Animales,FONDEF,IDEA
270,COVID0626,"""Desarrollo de un prototipo de vacuna contra SARS-Cov-2 para felinos y otros animales que pueden transmitir la enfermedad hacia el ser humano, utilizando la información genética de los virus de campo.""
",01/06/2020,01/06/2021,L. Saenz,Departamento de Ciencias Biológicas Animales,"Subdirección de Redes, Estrategia y Conocimiento (REC)",Concurso asignación rápida Covid-19
271,1190451,Escenario actual del estado de nutrición de hierro de cerdos destetados en Chile e impacto de la encapsulación del hierro dextrano como estrategia de suplementación,01/08/2018,01/08/2018,"C. Valenzuela / L. Saenz, V. Neira, S. Guzmán",Departamento de Fomento de la Producción Animal,FONDECYT,Regular
272,1190817,Assessing the effects of polyparasitism involving E. granulosus / F. hepatica or E. granulosus / Taenia spp. on the host immune response and Echinococcus metacestode fertility,01/04/2019,01/04/2023,"G. Cabrera, L. Saenz, E. Hernández",UNAB. Fac. de Odontología,FONDECYT,Regular
