,0,dirName
1976,Direccion del Instituto ,direccion_del_instituto
1978,Dirección de Administración y Finanzas,dirección_de_administración_y_finanzas
1987,Escuela de Posgrado,escuela_de_posgrado
1985,Unidad de Investigación,unidad_de_investigación
