,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
39,ID20I10010,SEGURIDAD Y EDUCACIÓN: FACTORES CLAVE PARA MEJORAR LA OFERTA TURISTICA DE SAN JOSÉ DE MAIPO EN CONTEXTO DE ÁREAS MULTI RIESGOS,01/05/2020,01/05/2020,"R. Garay / M. Castillo, G. Felmer, C. de la Maza",Departamento de Desarrollo en Productos Forestales,FONDEF,IDEA
40,IT18I0001,"Bases técnicas para proyectos de construcción de alto estándar de habitabilidad bajo exposición a riesgos de desastres en Chile, fabricados predominantemente con maderas nativas y exóticas de uso estructural y productos de ingeniería en madera",01/02/2019,01/12/2019,"R. Garay / C. Fritz, O. Fernández, M. Castillo, F. Pfenniger",Departamento de Desarrollo en Productos Forestales,FONDEF,IDEA
41,REDES180026,Network for Research in Seismic Resilience in the Andean Context,01/10/2018,01/10/2020,"R. Herrera / J. Campos, M. Soto, S. Pérez, R. Garay",Departamento de Ingeniería Civil,Cooperación Internacional: Multilateral y vinculación,Apoyo a la Formación de Redes Internacionales_Centros
42,IT16I10003,"Propuesta de estándares en infraestructura crítica para edificaciones y viviendas localizadas en zonas de interfaz urbano-forestal, con el objetivo de minimizar el nivel de peligro en la propagación del fuego, modelo a aplicar en la comuna de San José de Maipo",01/03/2017,01/03/2019,M. Castillo / R. Garay,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
43,IT14I10009,Bases técnicas para viviendas de emergencia,01/06/2014,01/06/2014,R. Garay,Departamento de Desarrollo en Productos Forestales,FONDEF,IDEA
44,10NTEC9002,"Desarrollo, Innovación, Tecnología y Marketing en el Sector Madera Mueble",01/12/2010,01/12/2012,R. Garay,Departamento de Desarrollo en Productos Forestales,INNOVA,Nodos tecnológicos
45,D09I1058,"Desarrollo de prototipos de vivienda modular, con énfasis en soluciones de emergencia, bajo criterios técnicos, geográficos y económicos que mejoren su eficiencia y funcionalidad",01/12/2009,01/12/2012,R. Garay / F. Pfenniger,Departamento de Desarrollo en Productos Forestales,FONDEF,Investigación y Desarrollo (I+D)
46,1090231,"Processes variables optimization for the acetylation treatment applied to wood, plywood and osb made with pinus radiata d.don.",01/03/2009,01/03/2009,R. Garay / R. Carmona,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
47,1080027,Evolucion de propiedades fisico-mecanicas y esteticas de tableros estructurales en servicio,01/03/2008,01/03/2008,R. Garay / R. Carmona,Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
48,1061132,"Evaluación del comportamiento de tableros estructurales con y sin recubrimientos, en condiciones de envejecimiento",01/03/2006,01/03/2006,"R. Garay / R. Carmona, A. Bozo",Departamento de Desarrollo en Productos Forestales,FONDECYT,Regular
49,D02I1086,Factibilidad de Biopulpaje Kraft aplicado a especies del género Eucalyptus,01/12/2002,01/12/2005,"R. Carmona, R. Garay, C. Tapia",Departamento de Desarrollo en Productos Forestales,FONDEF Investigación y Desarrollo,Fondef X-ID
